66;20
12;7
120;1
24;9
8;5
12;9
3;2
120;1
3;3
24;10
120;1
48;5
12;9
30;6
49;8
12;4
36;11
12;7
120;1
60;8
120;1
12;8
120;1
30;10
120;1
120;1
12;2
34;20
60;20
10;10
48;7
120;1
120;1
120;1
32;5
10;7
6;6
24;10
4;2
120;1
60;8
120;1
120;1
40;15
48;7
120;1
120;1
46;17
120;1
20;2
49;8
16;8
6;2
60;28
60;28
3;3
16;8
60;8
49;8
120;1
11;9
48;7
5;3
120;1
12;9
8;8
48;7
6;4
84;15
60;8
16;1
120;1
66;20
5;4
84;15
120;1
120;1
66;20
120;1
120;1
120;1
49;8
24;1
120;1
120;1
48;7
48;7
30;6
24;3
120;1
120;1
6;6
7;6
120;1
120;1
60;8
24;6
24;1
3;2
10;9
24;3
120;1
24;9
49;8
12;4
40;6
120;1
10;6
36;11
26;17
6;6
120;1
24;9
120;1
120;1
48;7
19;13
6;4
84;15
120;1
8;7
8;6
8;8
10;5
120;1
120;1
84;15
48;5
120;1
49;8
18;11
120;1
120;1
5;5
42;17
4;4
120;1
60;8
5;5
12;7
16;8
24;10
4;4
120;1
48;7
6;3
60;8
120;1
120;1
36;11
34;20
9;8
13;8
120;1
84;15
11;4
2;2
60;8
84;15
12;4
84;15
30;6
120;1
16;1
6;2
60;28
36;11
5;3
20;9
48;7
84;15
5;3
120;1
48;5
120;1
24;3
49;8
12;9
120;1
8;8
4;2
62;27
20;7
60;8
120;1
5;5
15;10
16;8
4;2
120;1
3;2
84;24
88;23
13;5
120;1
120;1
27;11
9;6
120;1
84;15
2;2
120;1
120;1
60;8
60;8
12;9
60;20
2;2
4;3
60;20
36;11
10;3
24;9
18;11
60;28
32;5
48;7
24;3
120;1
16;8
120;1
120;1
60;8
24;9
10;10
6;5
120;1
3;3
49;8
120;1
5;3
10;4
9;2
120;1
120;1
120;1
60;8
10;10
3;3
24;3
48;7
16;8
120;1
120;1
4;3
12;9
24;10
84;15
84;15
36;11
60;28
84;15
120;1
120;1
48;7
19;13
60;20
15;10
120;1
16;7
49;8
12;7
19;13
3;2
48;7
5;2
24;3
24;3
18;11
18;11
46;17
18;11
120;1
64;29
8;7
66;20
120;1
88;23
36;11
84;15
60;8
16;8
120;1
16;8
48;7
16;8
84;15
24;3
34;20
20;6
49;8
16;8
12;7
120;1
120;1
24;10
120;1
2;2
120;1
120;1
2;2
60;20
48;7
120;1
84;15
13;5
120;1
120;1
60;28
26;17
84;15
120;1
4;2
20;7
2;2
11;9
120;1
84;15
48;7
48;7
66;20
120;1
66;20
11;10
120;1
6;2
30;6
84;15
19;13
120;1
13;5
52;20
6;5
12;7
24;10
12;9
120;1
8;6
32;5
24;1
48;7
84;15
24;9
8;7
16;16
9;5
20;6
44;20
60;8
11;10
16;8
24;10
84;15
48;7
11;4
120;1
5;4
120;1
88;23
6;2
120;1
49;8
11;10
120;1
26;17
8;7
10;4
120;1
16;8
12;4
12;4
18;11
120;1
18;11
84;15
120;1
120;1
120;1
48;7
7;2
12;4
120;1
120;1
48;5
24;1
12;2
84;15
120;1
4;4
49;8
120;1
49;8
